anio,provincia,sexo,grupo_edad,poblacion
2020,zamora,Mujer,20-29,11756
2020,zamora,Mujer,30-44,10269
2020,zamora,Mujer,45-64,6536
2020,zamora,Mujer,65+,3596
2021,azuay,Hombre,0-14,110404
2021,azuay,Hombre,15-19,35177
2021,azuay,Hombre,20-29,71336
2021,azuay,Hombre,30-44,87170
2021,azuay,Hombre,45-64,58369
2021,azuay,Hombre,65+,28089
2021,azuay,Mujer,0-14,106546
2021,azuay,Mujer,15-19,34881
2021,azuay,Mujer,20-29,72405
2021,azuay,Mujer,30-44,94059
2021,azuay,Mujer,45-64,80106
2021,azuay,Mujer,65+,47231
2021,bolivar,Hombre,0-14,28890
2021,bolivar,Hombre,15-19,10423
2021,bolivar,Hombre,20-29,18035
2021,bolivar,Hombre,30-44,18934
2021,bolivar,Hombre,45-64,15089
2021,bolivar,Hombre,65+,10599
2021,bolivar,Mujer,0-14,27497
2021,bolivar,Mujer,15-19,9946
2021,bolivar,Mujer,20-29,17544
2021,bolivar,Mujer,30-44,19999
2021,bolivar,Mujer,45-64,17639
2021,bolivar,Mujer,65+,12013
2021,carchi,Hombre,0-14,23678
2021,carchi,Hombre,15-19,7973
2021,carchi,Hombre,20-29,16159
2021,carchi,Hombre,30-44,19671
2021,carchi,Hombre,45-64,14514
2021,carchi,Hombre,65+,8280
2021,carchi,Mujer,0-14,22448
2021,carchi,Mujer,15-19,7450
2021,carchi,Mujer,20-29,15179
2021,carchi,Mujer,30-44,19257
2021,carchi,Mujer,45-64,17407
2021,carchi,Mujer,65+,10429
2021,cañar,Hombre,0-14,37183
2021,cañar,Hombre,15-19,10482
2021,cañar,Hombre,20-29,18183
2021,cañar,Hombre,30-44,18634
2021,cañar,Hombre,45-64,15730
2021,cañar,Hombre,65+,10659
2021,cañar,Mujer,0-14,35484
2021,cañar,Mujer,15-19,10288
2021,cañar,Mujer,20-29,19101
2021,cañar,Mujer,30-44,24608
2021,cañar,Mujer,45-64,23856
2021,cañar,Mujer,65+,13582
2021,chimborazo,Hombre,0-14,65678
2021,chimborazo,Hombre,15-19,22926
2021,chimborazo,Hombre,20-29,43263
2021,chimborazo,Hombre,30-44,45929
2021,chimborazo,Hombre,45-64,39036
2021,chimborazo,Hombre,65+,24291
2021,chimborazo,Mujer,0-14,62704
2021,chimborazo,Mujer,15-19,21880
2021,chimborazo,Mujer,20-29,42531
2021,chimborazo,Mujer,30-44,48464
2021,chimborazo,Mujer,45-64,48708
2021,chimborazo,Mujer,65+,30371
2021,cotopaxi,Hombre,0-14,65547
2021,cotopaxi,Hombre,15-19,23630
2021,cotopaxi,Hombre,20-29,45268
2021,cotopaxi,Hombre,30-44,51845
2021,cotopaxi,Hombre,45-64,33329
2021,cotopaxi,Hombre,65+,16122
2021,cotopaxi,Mujer,0-14,62042
2021,cotopaxi,Mujer,15-19,22147
2021,cotopaxi,Mujer,20-29,43334
2021,cotopaxi,Mujer,30-44,51994
2021,cotopaxi,Mujer,45-64,40868
2021,cotopaxi,Mujer,65+,19744
2021,el_oro,Hombre,0-14,97313
2021,el_oro,Hombre,15-19,32789
2021,el_oro,Hombre,20-29,66625
2021,el_oro,Hombre,30-44,83313
2021,el_oro,Hombre,45-64,65743
2021,el_oro,Hombre,65+,23714
2021,el_oro,Mujer,0-14,92280
2021,el_oro,Mujer,15-19,30632
2021,el_oro,Mujer,20-29,62753
2021,el_oro,Mujer,30-44,81590
2021,el_oro,Mujer,45-64,72584
2021,el_oro,Mujer,65+,29063
2021,esmeraldas,Hombre,0-14,94155
2021,esmeraldas,Hombre,15-19,28917
2021,esmeraldas,Hombre,20-29,49752
2021,esmeraldas,Hombre,30-44,58770
2021,esmeraldas,Hombre,45-64,44448
2021,esmeraldas,Hombre,65+,20140
2021,esmeraldas,Mujer,0-14,91096
2021,esmeraldas,Mujer,15-19,28425
2021,esmeraldas,Mujer,20-29,51179
2021,esmeraldas,Mujer,30-44,59576
2021,esmeraldas,Mujer,45-64,47097
2021,esmeraldas,Mujer,65+,19769
2021,galapagos,Hombre,0-14,3488
2021,galapagos,Hombre,15-19,1178
2021,galapagos,Hombre,20-29,2209
2021,galapagos,Hombre,30-44,3996
2021,galapagos,Hombre,45-64,2826
2021,galapagos,Hombre,65+,1175
2021,galapagos,Mujer,0-14,3425
2021,galapagos,Mujer,15-19,1242
2021,galapagos,Mujer,20-29,2346
2021,galapagos,Mujer,30-44,3616
2021,galapagos,Mujer,45-64,2778
2021,galapagos,Mujer,65+,869
2021,guayas,Hombre,0-14,638142
2021,guayas,Hombre,15-19,213101
2021,guayas,Hombre,20-29,404526
2021,guayas,Hombre,30-44,488450
2021,guayas,Hombre,45-64,432130
2021,guayas,Hombre,65+,150766
2021,guayas,Mujer,0-14,607675
2021,guayas,Mujer,15-19,202329
2021,guayas,Mujer,20-29,385521
2021,guayas,Mujer,30-44,477655
2021,guayas,Mujer,45-64,438219
2021,guayas,Mujer,65+,162523
2021,imbabura,Hombre,0-14,64413
2021,imbabura,Hombre,15-19,22832
2021,imbabura,Hombre,20-29,44293
2021,imbabura,Hombre,30-44,49804
2021,imbabura,Hombre,45-64,36722
2021,imbabura,Hombre,65+,18104
2021,imbabura,Mujer,0-14,62156
2021,imbabura,Mujer,15-19,21927
2021,imbabura,Mujer,20-29,42991
2021,imbabura,Mujer,30-44,51257
2021,imbabura,Mujer,45-64,44455
2021,imbabura,Mujer,65+,23270
2021,loja,Hombre,0-14,68048
2021,loja,Hombre,15-19,22294
2021,loja,Hombre,20-29,44073
2021,loja,Hombre,30-44,49703
2021,loja,Hombre,45-64,38791
2021,loja,Hombre,65+,21403
2021,loja,Mujer,0-14,65412
2021,loja,Mujer,15-19,21676
2021,loja,Mujer,20-29,43065
2021,loja,Mujer,30-44,49469
2021,loja,Mujer,45-64,46280
2021,loja,Mujer,65+,26312
2021,los_rios,Hombre,0-14,135800
2021,los_rios,Hombre,15-19,43864
2021,los_rios,Hombre,20-29,83823
2021,los_rios,Hombre,30-44,99344
2021,los_rios,Hombre,45-64,80863
2021,los_rios,Hombre,65+,30936
2021,los_rios,Mujer,0-14,129986
2021,los_rios,Mujer,15-19,42622
2021,los_rios,Mujer,20-29,82604
2021,los_rios,Mujer,30-44,98302
2021,los_rios,Mujer,45-64,82018
2021,los_rios,Mujer,65+,38630
2021,manabi,Hombre,0-14,226057
2021,manabi,Hombre,15-19,78483
2021,manabi,Hombre,20-29,157257
2021,manabi,Hombre,30-44,185114
2021,manabi,Hombre,45-64,125025
2021,manabi,Hombre,65+,51948
2021,manabi,Mujer,0-14,216902
2021,manabi,Mujer,15-19,75228
2021,manabi,Mujer,20-29,153997
2021,manabi,Mujer,30-44,176286
2021,manabi,Mujer,45-64,126766
2021,manabi,Mujer,65+,86363
2021,morona,Hombre,0-14,36152
2021,morona,Hombre,15-19,11524
2021,morona,Hombre,20-29,20476
2021,morona,Hombre,30-44,18159
2021,morona,Hombre,45-64,9543
2021,morona,Hombre,65+,3963
2021,morona,Mujer,0-14,34232
2021,morona,Mujer,15-19,10746
2021,morona,Mujer,20-29,19169
2021,morona,Mujer,30-44,17259
2021,morona,Mujer,45-64,10293
2021,morona,Mujer,65+,4641
2021,napo,Hombre,0-14,22755
2021,napo,Hombre,15-19,7143
2021,napo,Hombre,20-29,12951
2021,napo,Hombre,30-44,13326
2021,napo,Hombre,45-64,7725
2021,napo,Hombre,65+,3362
2021,napo,Mujer,0-14,21642
2021,napo,Mujer,15-19,6728
2021,napo,Mujer,20-29,12558
2021,napo,Mujer,30-44,13519
2021,napo,Mujer,45-64,8230
2021,napo,Mujer,65+,3048
2021,orellana,Hombre,0-14,31687
2021,orellana,Hombre,15-19,9567
2021,orellana,Hombre,20-29,16472
2021,orellana,Hombre,30-44,19171
2021,orellana,Hombre,45-64,14518
2021,orellana,Hombre,65+,4001
2021,orellana,Mujer,0-14,30244
2021,orellana,Mujer,15-19,9115
2021,orellana,Mujer,20-29,15702
2021,orellana,Mujer,30-44,16993
2021,orellana,Mujer,45-64,11884
2021,orellana,Mujer,65+,3319
2021,pastaza,Hombre,0-14,19449
2021,pastaza,Hombre,15-19,5703
2021,pastaza,Hombre,20-29,10280
2021,pastaza,Hombre,30-44,11156
2021,pastaza,Hombre,45-64,7596
2021,pastaza,Hombre,65+,2882
2021,pastaza,Mujer,0-14,18388
2021,pastaza,Mujer,15-19,5378
2021,pastaza,Mujer,20-29,10652
2021,pastaza,Mujer,30-44,11140
2021,pastaza,Mujer,45-64,6951
2021,pastaza,Mujer,65+,3196
2021,pichincha,Hombre,0-14,374941
2021,pichincha,Hombre,15-19,132094
2021,pichincha,Hombre,20-29,277217
2021,pichincha,Hombre,30-44,387080
2021,pichincha,Hombre,45-64,297297
2021,pichincha,Hombre,65+,109075
2021,pichincha,Mujer,0-14,358793
2021,pichincha,Mujer,15-19,128169
2021,pichincha,Mujer,20-29,275602
2021,pichincha,Mujer,30-44,415662
2021,pichincha,Mujer,45-64,325447
2021,pichincha,Mujer,65+,136205
2021,santa_elena,Hombre,0-14,57567
2021,santa_elena,Hombre,15-19,18221
2021,santa_elena,Hombre,20-29,36223
2021,santa_elena,Hombre,30-44,46196
2021,santa_elena,Hombre,45-64,31719
2021,santa_elena,Hombre,65+,11352
2021,santa_elena,Mujer,0-14,54785
2021,santa_elena,Mujer,15-19,17559
2021,santa_elena,Mujer,20-29,35438
2021,santa_elena,Mujer,30-44,42346
2021,santa_elena,Mujer,45-64,32057
2021,santa_elena,Mujer,65+,13246
2021,santo_domingo,Hombre,0-14,78200
2021,santo_domingo,Hombre,15-19,23463
2021,santo_domingo,Hombre,20-29,44014
2021,santo_domingo,Hombre,30-44,53676
2021,santo_domingo,Hombre,45-64,40810
2021,santo_domingo,Hombre,65+,14932
2021,santo_domingo,Mujer,0-14,74257
2021,santo_domingo,Mujer,15-19,22353
2021,santo_domingo,Mujer,20-29,43226
2021,santo_domingo,Mujer,30-44,54196
2021,santo_domingo,Mujer,45-64,43350
2021,santo_domingo,Mujer,65+,16564
2021,sucumbios,Hombre,0-14,33649
2021,sucumbios,Hombre,15-19,9918
2021,sucumbios,Hombre,20-29,18197
2021,sucumbios,Hombre,30-44,22098
2021,sucumbios,Hombre,45-64,18468
2021,sucumbios,Hombre,65+,5668
2021,sucumbios,Mujer,0-14,32606
2021,sucumbios,Mujer,15-19,9988
2021,sucumbios,Mujer,20-29,18419
2021,sucumbios,Mujer,30-44,20357
2021,sucumbios,Mujer,45-64,14036
2021,sucumbios,Mujer,65+,4324
2021,tungurahua,Hombre,0-14,74889
2021,tungurahua,Hombre,15-19,24900
2021,tungurahua,Hombre,20-29,50073
2021,tungurahua,Hombre,30-44,60229
2021,tungurahua,Hombre,45-64,45134
2021,tungurahua,Hombre,65+,22630
2021,tungurahua,Mujer,0-14,71321
2021,tungurahua,Mujer,15-19,23944
2021,tungurahua,Mujer,20-29,48886
2021,tungurahua,Mujer,30-44,63984
2021,tungurahua,Mujer,45-64,56657
2021,tungurahua,Mujer,65+,29046
2021,zamora,Hombre,0-14,17881
